<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
03/09/20,000000,0.0132510,0.0133120,0.0131540,0.0132710,287
04/09/20,000000,0.0132360,0.0133040,0.0131780,0.0132420,259
06/09/20,000000,0.0132420,0.0132840,0.0132070,0.0132260,54
07/09/20,000000,0.0132720,0.0132770,0.0130850,0.0131820,287
08/09/20,000000,0.0131770,0.0131830,0.0130240,0.0130690,285
09/09/20,000000,0.0130720,0.0132790,0.0130390,0.0132410,288
10/09/20,000000,0.0132430,0.0133520,0.0131770,0.0132620,288
11/09/20,000000,0.0132710,0.0133340,0.0132460,0.0133300,262
13/09/20,000000,0.0132910,0.0133300,0.0132910,0.0133020,49
14/09/20,000000,0.0133020,0.0133590,0.0132020,0.0132510,288
15/09/20,000000,0.0132550,0.0133170,0.0132280,0.0133010,288
16/09/20,000000,0.0133040,0.0133540,0.0132470,0.0133420,287
17/09/20,000000,0.0133050,0.0133500,0.0132220,0.0133440,287
18/09/20,000000,0.0132990,0.0133380,0.0131570,0.0131720,260
20/09/20,000000,0.0131700,0.0132160,0.0131430,0.0132020,62
21/09/20,000000,0.0132020,0.0132580,0.0130240,0.0131350,288
22/09/20,000000,0.0131370,0.0131610,0.0130480,0.0131080,288
23/09/20,000000,0.0131100,0.0131460,0.0129320,0.0129760,288
24/09/20,000000,0.0129750,0.0130150,0.0128650,0.0129350,285
25/09/20,000000,0.0129340,0.0130060,0.0127020,0.0127660,264
27/09/20,000000,0.0127490,0.0127990,0.0127410,0.0127750,46
28/09/20,000000,0.0127720,0.0127750,0.0125760,0.0126150,288
29/09/20,000000,0.0125820,0.0127000,0.0124690,0.0126640,288
30/09/20,000000,0.0126680,0.0128630,0.0125630,0.0128610,288
01/10/20,000000,0.0128290,0.0129990,0.0128180,0.0129040,288
02/10/20,000000,0.0129370,0.0129380,0.0126550,0.0127490,258
04/10/20,000000,0.0127220,0.0127940,0.0127220,0.0127680,64
05/10/20,000000,0.0127690,0.0128000,0.0126430,0.0127610,287
06/10/20,000000,0.0127590,0.0128360,0.0126770,0.0127120,287
07/10/20,000000,0.0127110,0.0128020,0.0127020,0.0127730,288
08/10/20,000000,0.0127960,0.0129090,0.0127630,0.0128970,287
09/10/20,000000,0.0128900,0.0130030,0.0128830,0.0130030,264
11/10/20,000000,0.0129560,0.0130140,0.0129560,0.0130090,58
12/10/20,000000,0.0129720,0.0130160,0.0129060,0.0129410,288
