<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
08/04/19,000000,2888.4600000,2895.9500000,2880.7800000,2895.7700000,17833
09/04/19,000000,2886.5800000,2886.8800000,2873.3300000,2878.2000000,19468
10/04/19,000000,2881.3700000,2889.7100000,2879.1300000,2888.2100000,21251
11/04/19,000000,2891.9200000,2893.4200000,2881.9900000,2888.3200000,21443
12/04/19,000000,2900.8600000,2910.5400000,2898.3700000,2907.4100000,21830
15/04/19,000000,2908.3200000,2909.6000000,2896.5800000,2905.5800000,14293
16/04/19,000000,2912.2600000,2916.0600000,2900.7100000,2907.0600000,22054
17/04/19,000000,2916.0400000,2918.0000000,2895.4500000,2900.4500000,22751
18/04/19,000000,2904.8100000,2908.4000000,2891.9000000,2905.0300000,22000
22/04/19,000000,2898.7800000,2909.5100000,2896.3500000,2907.9700000,21157
23/04/19,000000,2909.9900000,2936.3100000,2908.5300000,2933.6800000,21734
24/04/19,000000,2934.0000000,2936.8300000,2926.0500000,2927.2500000,21885
25/04/19,000000,2928.9900000,2933.1000000,2912.8400000,2926.1700000,22678
26/04/19,000000,2925.8100000,2939.8800000,2917.5600000,2939.8800000,22313
29/04/19,000000,2940.5800000,2949.5200000,2939.3500000,2943.0300000,21532
30/04/19,000000,2937.1400000,2948.2200000,2924.1100000,2945.8300000,22539
01/05/19,000000,2952.3300000,2954.1300000,2923.4600000,2923.7300000,22923
02/05/19,000000,2922.1600000,2931.6800000,2900.5000000,2917.5200000,23465
03/05/19,000000,2929.2100000,2947.8500000,2929.2100000,2945.6400000,21972
06/05/19,000000,2908.8900000,2937.3200000,2898.2100000,2932.4700000,22922
07/05/19,000000,2913.0300000,2913.0300000,2862.6000000,2884.0500000,24243
08/05/19,000000,2879.6100000,2897.9600000,2873.2800000,2879.4200000,22060
09/05/19,000000,2859.8400000,2875.9700000,2836.4000000,2870.7200000,23979
10/05/19,000000,2863.1000000,2891.3100000,2825.3900000,2881.4000000,24152
13/05/19,000000,2840.1900000,2840.1900000,2801.4300000,2811.8700000,24409
14/05/19,000000,2820.1200000,2852.5400000,2820.1200000,2834.4100000,23107
15/05/19,000000,2820.3800000,2858.6800000,2815.0800000,2850.9600000,23080
16/05/19,000000,2855.8000000,2892.1500000,2855.8000000,2876.3200000,22699
17/05/19,000000,2858.6000000,2885.4800000,2854.2300000,2859.5300000,23298
20/05/19,000000,2841.9400000,2853.8600000,2831.3300000,2840.2300000,21768
21/05/19,000000,2854.0200000,2868.8800000,2854.0200000,2864.3600000,21789
22/05/19,000000,2856.0600000,2865.4700000,2851.1100000,2856.2700000,22090
23/05/19,000000,2836.7000000,2836.7000000,2805.4900000,2822.2400000,21984
24/05/19,000000,2832.4100000,2841.3600000,2820.1900000,2826.0600000,21913
28/05/19,000000,2830.0300000,2840.5100000,2802.0200000,2802.3900000,22436
29/05/19,000000,2790.2500000,2792.0300000,2766.0600000,2783.0200000,23594
