<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
26/08/19,000000,1.1143300,1.1152900,1.1093000,1.1101400,1350684
27/08/19,000000,1.1100700,1.1116100,1.1084000,1.1089400,992468
28/08/19,000000,1.1088800,1.1098100,1.1072000,1.1085600,930926
29/08/19,000000,1.1085500,1.1093300,1.1041000,1.1058800,952396
30/08/19,000000,1.1059000,1.1060000,1.0961000,1.0989000,1052220
01/09/19,000000,1.0987500,1.0997500,1.0981300,1.0990300,44929
02/09/19,000000,1.0990200,1.0993200,1.0956000,1.0964400,582180
03/09/19,000000,1.0964100,1.0978900,1.0924000,1.0972500,1051630
04/09/19,000000,1.0972600,1.1038500,1.0970000,1.1034700,969707
05/09/19,000000,1.1033900,1.1084700,1.1016000,1.1033900,1068361
06/09/19,000000,1.1033800,1.1057300,1.1018000,1.1028900,2094224
08/09/19,000000,1.1024900,1.1028400,1.1018000,1.1020100,57223
09/09/19,000000,1.1020100,1.1068100,1.1014000,1.1046900,1840372
10/09/19,000000,1.1047000,1.1059500,1.1029000,1.1050100,1820773
11/09/19,000000,1.1050100,1.1055700,1.0983000,1.1013000,1516413
12/09/19,000000,1.1013400,1.1087300,1.0926000,1.1055800,2392074
13/09/19,000000,1.1056000,1.1109600,1.1055000,1.1071000,1953337
15/09/19,000000,1.1075800,1.1087000,1.1067400,1.1083000,111750
16/09/19,000000,1.1083200,1.1084400,1.0991600,1.1002600,1968706
17/09/19,000000,1.1003100,1.1075700,1.0989000,1.1073700,2090059
18/09/19,000000,1.1073700,1.1075000,1.1012000,1.1029100,2004078
19/09/19,000000,1.1029100,1.1073500,1.1021000,1.1044700,2270874
20/09/19,000000,1.1044600,1.1067800,1.0995000,1.1017000,1965640
22/09/19,000000,1.1011400,1.1020000,1.1008700,1.1017000,62144
23/09/19,000000,1.1018600,1.1025500,1.0964000,1.0993700,1979836
24/09/19,000000,1.0993900,1.1024100,1.0982000,1.1013500,1929195
25/09/19,000000,1.1012600,1.1017000,1.0936000,1.0951200,1975676
26/09/19,000000,1.0951200,1.0967400,1.0907900,1.0921500,1934793
27/09/19,000000,1.0922300,1.0958700,1.0903800,1.0939400,1763903
29/09/19,000000,1.0938500,1.0946300,1.0937500,1.0942200,59350
30/09/19,000000,1.0942100,1.0947800,1.0883900,1.0899300,1793772
01/10/19,000000,1.0899300,1.0942900,1.0878000,1.0933300,2214323
02/10/19,000000,1.0933900,1.0963700,1.0903000,1.0960200,2039789
03/10/19,000000,1.0960200,1.0999400,1.0939000,1.0974100,2115996
04/10/19,000000,1.0974500,1.0999100,1.0956000,1.0975000,1959532
06/10/19,000000,1.0982200,1.0984000,1.0967000,1.0982600,58052
07/10/19,000000,1.0983300,1.1000600,1.0960000,1.0971600,1644165
08/10/19,000000,1.0971600,1.0996100,1.0939000,1.0959100,2070618
09/10/19,000000,1.0959000,1.0990800,1.0953000,1.0984200,1817738
10/10/19,000000,1.0983500,1.1033900,1.0978000,1.1010600,2435435
11/10/19,000000,1.1010600,1.1062800,1.1000000,1.1035600,2505610
13/10/19,000000,1.1044700,1.1045300,1.1024000,1.1027400,156262
14/10/19,000000,1.1027600,1.1042800,1.1011800,1.1026000,1638185
15/10/19,000000,1.1025800,1.1046100,1.0989000,1.1034400,2244612
16/10/19,000000,1.1033700,1.1085600,1.1021000,1.1073700,2393497
17/10/19,000000,1.1073900,1.1139800,1.1063000,1.1123900,2477791
18/10/19,000000,1.1124500,1.1183000,1.1113000,1.1182000,1787405
20/10/19,000000,1.1145000,1.1164700,1.1135000,1.1155800,140724
21/10/19,000000,1.1155600,1.1179500,1.1137600,1.1151700,1570707
22/10/19,000000,1.1150900,1.1157000,1.1116600,1.1129000,1668352
23/10/19,000000,1.1128200,1.1140500,1.1105000,1.1132100,1566257
24/10/19,000000,1.1131000,1.1163000,1.1091000,1.1102300,1938438
25/10/19,000000,1.1102400,1.1123100,1.1071000,1.1079900,1327911
27/10/19,000000,1.1084900,1.1084900,1.1074400,1.1083900,72257
28/10/19,000000,1.1083200,1.1106700,1.1071000,1.1097400,1284547
29/10/19,000000,1.1098200,1.1118500,1.1072000,1.1111000,1485884
30/10/19,000000,1.1112100,1.1155400,1.1078900,1.1152000,1981777
31/10/19,000000,1.1152100,1.1175800,1.1130000,1.1156000,2047868
01/11/19,000000,1.1156000,1.1171900,1.1127000,1.1164000,1637261
03/11/19,000000,1.1164900,1.1170400,1.1161100,1.1166000,40733
04/11/19,000000,1.1166000,1.1175500,1.1120000,1.1127900,1577643
05/11/19,000000,1.1127900,1.1140200,1.1062000,1.1073700,1862528
06/11/19,000000,1.1074000,1.1092900,1.1063000,1.1070100,1519043
07/11/19,000000,1.1069900,1.1091600,1.1034900,1.1052400,2101242
08/11/19,000000,1.1052400,1.1055400,1.1015000,1.1018900,1444945
10/11/19,000000,1.1017400,1.1025500,1.1016700,1.1021800,36164
11/11/19,000000,1.1021800,1.1043100,1.1015000,1.1034500,1110525
12/11/19,000000,1.1034700,1.1038600,1.1001000,1.1011000,1516136
13/11/19,000000,1.1011900,1.1020300,1.0994000,1.1009600,1578986
14/11/19,000000,1.1009300,1.1027500,1.0988000,1.1019300,1559163
15/11/19,000000,1.1019600,1.1057000,1.1013000,1.1051200,1283207
17/11/19,000000,1.1051400,1.1054700,1.1046800,1.1053900,52262
18/11/19,000000,1.1053900,1.1090000,1.1052000,1.1072100,1372789
19/11/19,000000,1.1072300,1.1083900,1.1061000,1.1076900,1301523
20/11/19,000000,1.1078000,1.1081500,1.1051000,1.1077900,1570025
21/11/19,000000,1.1077900,1.1097000,1.1051000,1.1065600,1514361
22/11/19,000000,1.1065300,1.1087600,1.1013000,1.1022000,1552948
24/11/19,000000,1.1024400,1.1025500,1.1012000,1.1022500,64370
25/11/19,000000,1.1022600,1.1032300,1.1002000,1.1009400,1296015
26/11/19,000000,1.1010400,1.1025600,1.1006000,1.1022000,1313746
27/11/19,000000,1.1022000,1.1022300,1.0990000,1.1004900,1344472
28/11/19,000000,1.1005000,1.1018000,1.0999000,1.1011200,912140
29/11/19,000000,1.1011200,1.1028300,1.0980000,1.1017300,1177421
01/12/19,000000,1.1013900,1.1027100,1.1013000,1.1018200,52871
02/12/19,000000,1.1018200,1.1090800,1.1001000,1.1076000,1435371
03/12/19,000000,1.1075800,1.1093600,1.1065000,1.1081800,1397734
04/12/19,000000,1.1081900,1.1116100,1.1065000,1.1082300,1595123
05/12/19,000000,1.1082400,1.1108100,1.1078000,1.1103900,1280625
06/12/19,000000,1.1103900,1.1109700,1.1038000,1.1056400,1240010
08/12/19,000000,1.1054000,1.1061000,1.1053000,1.1058100,36775
09/12/19,000000,1.1058100,1.1078000,1.1052000,1.1064300,1045018
10/12/19,000000,1.1064400,1.1097800,1.1061000,1.1092400,1298474
11/12/19,000000,1.1092200,1.1144900,1.1069000,1.1132700,1515511
12/12/19,000000,1.1132700,1.1199700,1.1101900,1.1183200,2006127
13/12/19,000000,1.1183300,1.1186100,1.1110000,1.1122300,2106514
15/12/19,000000,1.1126100,1.1133000,1.1118000,1.1124300,78081
16/12/19,000000,1.1124300,1.1158200,1.1121000,1.1135500,1304699
17/12/19,000000,1.1135700,1.1174700,1.1128000,1.1151400,1396052
18/12/19,000000,1.1151400,1.1151400,1.1109000,1.1114700,1255477
19/12/19,000000,1.1115500,1.1144300,1.1106000,1.1122800,1361247
20/12/19,000000,1.1123100,1.1123700,1.1065000,1.1075900,1163448
22/12/19,000000,1.1076900,1.1086100,1.1075000,1.1080100,39591
23/12/19,000000,1.1080100,1.1096000,1.1068000,1.1092000,1129363
24/12/19,000000,1.1091600,1.1094000,1.1068000,1.1086600,928805
25/12/19,000000,1.1087300,1.1102300,1.1072000,1.1094400,39039
26/12/19,000000,1.1094400,1.1109000,1.1081000,1.1100300,580540
27/12/19,000000,1.1101100,1.1188400,1.1097000,1.1175400,1432593
29/12/19,000000,1.1178300,1.1184000,1.1169000,1.1180000,61880
30/12/19,000000,1.1181200,1.1221000,1.1179000,1.1201000,1402774
