<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
01/06/19,000000,0.9984000,0.9997000,0.9981000,0.9997000,32
02/06/19,000000,0.9987000,1.0003000,0.9965000,1.0002000,326
03/06/19,000000,0.9982000,1.0087000,0.9975000,1.0074000,3199
04/06/19,000000,1.0070000,1.0096000,1.0044000,1.0076000,3142
05/06/19,000000,1.0075000,1.0146000,1.0046000,1.0051000,3153
06/06/19,000000,1.0049000,1.0120000,1.0039000,1.0085000,3131
07/06/19,000000,1.0082000,1.0141000,1.0046000,1.0120000,3080
08/06/19,000000,1.0125000,1.0125000,1.0118000,1.0118000,24
09/06/19,000000,1.0115000,1.0115000,1.0095000,1.0098000,313
10/06/19,000000,1.0110000,1.0113000,1.0077000,1.0101000,3117
11/06/19,000000,1.0099000,1.0107000,1.0061000,1.0075000,3097
12/06/19,000000,1.0073000,1.0095000,1.0036000,1.0043000,3106
13/06/19,000000,1.0040000,1.0081000,1.0037000,1.0060000,3133
14/06/19,000000,1.0058000,1.0072000,1.0001000,1.0011000,3027
15/06/19,000000,1.0008000,1.0021000,1.0008000,1.0019000,30
16/06/19,000000,1.0016000,1.0018000,1.0002000,1.0009000,65
17/06/19,000000,1.0010000,1.0031000,0.9998000,1.0008000,2881
18/06/19,000000,1.0003000,1.0033000,0.9985000,0.9997000,2986
19/06/19,000000,0.9993000,1.0082000,0.9980000,1.0057000,2972
20/06/19,000000,1.0054000,1.0208000,1.0054000,1.0183000,3194
21/06/19,000000,1.0183000,1.0248000,1.0161000,1.0240000,3091
22/06/19,000000,1.0238000,1.0246000,1.0232000,1.0241000,29
23/06/19,000000,1.0230000,1.0245000,1.0230000,1.0236000,62
24/06/19,000000,1.0239000,1.0296000,1.0218000,1.0286000,3064
25/06/19,000000,1.0284000,1.0314000,1.0227000,1.0249000,3072
26/06/19,000000,1.0245000,1.0261000,1.0217000,1.0223000,3156
27/06/19,000000,1.0222000,1.0244000,1.0185000,1.0238000,3010
28/06/19,000000,1.0235000,1.0266000,1.0229000,1.0240000,2980
29/06/19,000000,1.0243000,1.0243000,1.0220000,1.0221000,30
30/06/19,000000,1.0229000,1.0239000,1.0206000,1.0209000,67
01/07/19,000000,1.0208000,1.0221000,1.0114000,1.0123000,3096
02/07/19,000000,1.0121000,1.0165000,1.0109000,1.0138000,3021
03/07/19,000000,1.0136000,1.0166000,1.0125000,1.0136000,2976
04/07/19,000000,1.0133000,1.0153000,1.0125000,1.0147000,2720
05/07/19,000000,1.0149000,1.0155000,1.0066000,1.0082000,2900
06/07/19,000000,1.0080000,1.0085000,1.0074000,1.0085000,22
07/07/19,000000,1.0080000,1.0080000,1.0071000,1.0080000,64
08/07/19,000000,1.0076000,1.0100000,1.0050000,1.0060000,2961
09/07/19,000000,1.0057000,1.0075000,1.0045000,1.0063000,2979
10/07/19,000000,1.0061000,1.0112000,1.0054000,1.0104000,3011
11/07/19,000000,1.0104000,1.0153000,1.0092000,1.0096000,3167
12/07/19,000000,1.0095000,1.0164000,1.0089000,1.0159000,3121
13/07/19,000000,1.0156000,1.0165000,1.0156000,1.0165000,27
15/07/19,000000,1.0158000,1.0184000,1.0144000,1.0156000,2808
16/07/19,000000,1.0154000,1.0165000,1.0103000,1.0121000,2971
17/07/19,000000,1.0118000,1.0135000,1.0090000,1.0126000,2909
18/07/19,000000,1.0123000,1.0192000,1.0107000,1.0187000,3076
19/07/19,000000,1.0185000,1.0195000,1.0153000,1.0183000,3164
20/07/19,000000,1.0183000,1.0183000,1.0169000,1.0173000,28
21/07/19,000000,1.0161000,1.0167000,1.0160000,1.0164000,59
22/07/19,000000,1.0171000,1.0198000,1.0158000,1.0181000,3027
23/07/19,000000,1.0179000,1.0184000,1.0139000,1.0147000,2985
24/07/19,000000,1.0149000,1.0164000,1.0123000,1.0153000,2965
25/07/19,000000,1.0151000,1.0156000,1.0081000,1.0091000,2949
26/07/19,000000,1.0089000,1.0099000,1.0050000,1.0063000,2928
27/07/19,000000,1.0064000,1.0065000,1.0057000,1.0065000,28
28/07/19,000000,1.0058000,1.0067000,1.0054000,1.0065000,268
29/07/19,000000,1.0063000,1.0090000,1.0063000,1.0078000,2792
30/07/19,000000,1.0078000,1.0108000,1.0074000,1.0094000,2960
31/07/19,000000,1.0095000,1.0114000,1.0045000,1.0057000,2989
01/08/19,000000,1.0054000,1.0111000,1.0022000,1.0099000,3113
02/08/19,000000,1.0096000,1.0191000,1.0094000,1.0191000,2909
04/08/19,000000,1.0163000,1.0179000,1.0149000,1.0175000,369
05/08/19,000000,1.0173000,1.0303000,1.0171000,1.0302000,3319
