<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
27/04/20,000000,779.3000000,788.3000000,767.6000000,776.6000000,4486
28/04/20,000000,776.4000000,801.5000000,771.3000000,794.3000000,7616
29/04/20,000000,795.4000000,829.5000000,794.5000000,810.8000000,10566
30/04/20,000000,810.5000000,823.3000000,787.7000000,805.5000000,10140
01/05/20,000000,805.8000000,814.2000000,770.0000000,778.6000000,9422
03/05/20,000000,772.8000000,775.4000000,762.1000000,768.3000000,497
04/05/20,000000,768.4000000,789.0000000,760.0000000,780.4000000,6708
05/05/20,000000,780.2000000,788.5000000,769.3000000,781.6000000,5851
06/05/20,000000,781.5000000,785.5000000,757.7000000,764.5000000,9698
07/05/20,000000,764.7000000,785.0000000,764.7000000,781.4000000,7921
08/05/20,000000,781.5000000,801.0000000,779.7000000,790.9000000,7154
10/05/20,000000,789.0000000,796.2000000,789.0000000,796.2000000,282
11/05/20,000000,795.3000000,800.6000000,774.2000000,781.2000000,6712
12/05/20,000000,781.3000000,791.1000000,768.2000000,768.2000000,5853
13/05/20,000000,768.4000000,781.5000000,767.5000000,776.8000000,6619
14/05/20,000000,776.4000000,792.2000000,769.4000000,785.6000000,7898
15/05/20,000000,786.0000000,822.4000000,780.6000000,822.1000000,14035
17/05/20,000000,823.1000000,844.7000000,822.7000000,841.2000000,1646
18/05/20,000000,841.2000000,877.0000000,836.6000000,862.1000000,16578
19/05/20,000000,862.0000000,897.3000000,849.0000000,893.8000000,13796
20/05/20,000000,893.5000000,943.0000000,893.5000000,932.0000000,14560
21/05/20,000000,932.0000000,932.0000000,851.3000000,869.3000000,16771
22/05/20,000000,870.4000000,900.6000000,846.9000000,886.6000000,12292
24/05/20,000000,886.0000000,886.3000000,881.9000000,885.9000000,124
25/05/20,000000,885.1000000,897.0000000,872.0000000,895.2000000,3199
26/05/20,000000,895.8000000,911.9000000,863.5000000,870.0000000,9861
27/05/20,000000,869.8000000,883.1000000,860.3000000,879.4000000,8365
28/05/20,000000,879.2000000,892.0000000,857.0000000,865.0000000,10729
29/05/20,000000,864.4000000,885.4000000,847.2000000,873.1000000,8753
31/05/20,000000,874.6000000,878.0000000,874.5000000,877.2000000,342
01/06/20,000000,876.6000000,906.5000000,865.4000000,900.3000000,11487
02/06/20,000000,900.7000000,908.9000000,855.1000000,872.7000000,13552
03/06/20,000000,871.3000000,871.3000000,851.6000000,858.0000000,9044
04/06/20,000000,858.2000000,871.6000000,845.1000000,866.2000000,9216
05/06/20,000000,866.3000000,872.5000000,818.7000000,834.5000000,13523
07/06/20,000000,831.1000000,837.2000000,826.9000000,835.5000000,600
08/06/20,000000,835.6000000,868.9000000,835.6000000,863.8000000,9694
09/06/20,000000,864.3000000,868.0000000,842.2000000,860.1000000,7572
10/06/20,000000,860.1000000,870.5000000,838.0000000,850.0000000,12214
11/06/20,000000,851.3000000,857.2000000,811.6000000,812.8000000,14278
12/06/20,000000,813.0000000,844.5000000,808.6000000,820.4000000,10345
14/06/20,000000,820.7000000,822.0000000,815.5000000,816.8000000,359
15/06/20,000000,817.4000000,832.3000000,792.4000000,831.1000000,14163
16/06/20,000000,831.0000000,847.8000000,822.2000000,841.4000000,11750
17/06/20,000000,841.0000000,845.6000000,825.7000000,833.8000000,7923
18/06/20,000000,834.0000000,837.6000000,805.6000000,814.9000000,9498
19/06/20,000000,814.5000000,849.7000000,810.4000000,824.6000000,11575
21/06/20,000000,828.4000000,831.2000000,825.9000000,826.6000000,350
22/06/20,000000,827.2000000,857.5000000,823.0000000,844.7000000,9857
23/06/20,000000,844.5000000,849.1000000,828.4000000,843.9000000,7682
24/06/20,000000,844.1000000,847.9000000,795.0000000,796.7000000,16831
25/06/20,000000,797.0000000,811.4000000,790.5000000,810.0000000,8563
26/06/20,000000,809.4000000,812.1000000,793.8000000,804.0000000,3008
28/06/20,000000,807.1000000,810.5000000,806.0000000,806.8000000,63
29/06/20,000000,805.4000000,819.5000000,805.4000000,819.5000000,1054
30/06/20,000000,816.3000000,855.4000000,816.3000000,852.8000000,363
01/07/20,000000,852.7000000,865.0000000,821.0000000,836.6000000,11605
02/07/20,000000,836.6000000,845.3000000,824.1000000,827.9000000,7277
03/07/20,000000,828.0000000,831.4000000,819.1000000,825.8000000,2464
05/07/20,000000,825.0000000,827.5000000,824.9000000,826.9000000,143
06/07/20,000000,827.4000000,854.4000000,823.2000000,842.7000000,9101
07/07/20,000000,842.6000000,866.5000000,829.4000000,861.4000000,12592
08/07/20,000000,861.7000000,888.2000000,860.4000000,881.3000000,11075
09/07/20,000000,881.7000000,892.9000000,842.3000000,852.9000000,15696
10/07/20,000000,853.5000000,863.0000000,840.2000000,841.5000000,9155
12/07/20,000000,845.6000000,848.7000000,843.4000000,844.8000000,335
13/07/20,000000,845.7000000,870.2000000,845.3000000,849.9000000,8068
14/07/20,000000,849.5000000,850.5000000,825.5000000,844.3000000,12233
15/07/20,000000,842.6000000,852.8000000,835.0000000,846.5000000,7124
16/07/20,000000,846.4000000,847.3000000,825.5000000,833.8000000,8231
17/07/20,000000,833.9000000,855.3000000,831.4000000,851.4000000,6719
19/07/20,000000,851.6000000,853.5000000,850.0000000,851.8000000,150
